gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
RGL3,-0.006281295084974463,0.0020078451707599664,-0.0013995991668872597,-0.0028788172350592274,0.002984905128577695,Trajectory-1,150.0,0.0
RGS13,-0.02343702563819536,-0.03624231092340688,0.005475484727408936,0.009878573360596322,-0.0011491010778280518,Trajectory-1,232.0,0.0
RGS2,-0.003705072994994778,-0.0006040980874047741,-0.00401218164220475,-0.002477991623885746,0.0019822995811383565,Trajectory-1,94.0,0.0
RGS4,-0.00011414951821714526,-0.0016302608648736756,0.0004948757452412643,-0.00026397991663209473,0.0010068448889673479,Trajectory-1,139.0,0.0
RHOBTB3,0.0019376097778131712,2.9104390265953493e-05,-0.0010966317152018507,0.002212294136958165,-0.00024630516058988465,Trajectory-2,0.0,34.0
RHOXF1P3,-0.008733384964091328,-0.007400870839276127,-0.0014804069188007758,-0.0010763701805578312,0.002521961218693241,Trajectory-1,189.0,0.0
RIMKLBP2,0.002223254638568636,-0.00017877029855853965,5.609723026111449e-05,0.0013556206818044578,-0.00033051638420690516,Trajectory-2,0.0,134.0
RIPK3,0.0031440183789408307,-0.0011770653044941492,0.00464098314780751,-0.0032060252287975455,0.0005609679058430538,Trajectory-2,0.0,246.0
RNA5SP203,-0.0017440085601241777,0.0008364310573629279,-0.0015067199194449853,-0.0007936902457577254,-0.00030274435846974545,Trajectory-1,97.0,0.0
RNASEK,0.002993530764448739,-0.0005498410361922115,0.0012851519031739271,0.001663245205950623,-0.0008146465006986331,Trajectory-2,0.0,160.0
RPAP2P1,-0.013537342504761593,0.00860203172869024,0.007594535994684121,0.0019207317569642736,-0.0014347636676603954,Trajectory-1,201.0,0.0
RPL11P2,-0.00023561394663202445,0.0003758266023590865,-0.00012953419377100255,-0.0007884277455303256,-0.0002828748545134408,Trajectory-1,77.0,0.0
RPL13AP5,0.0016250542198959082,0.00020593053565502611,-0.0015953387158044803,0.002066356909793638,-0.00023670300073113916,Trajectory-2,0.0,17.0
RPL15P5,0.0016384168725200614,0.00021584470479426706,-0.0016589918524010426,0.0021642385949341794,-0.00024368963742294635,Trajectory-2,0.0,13.0
RPL18AP3,0.0009225561677965538,0.00025473941905872026,-0.001812779885608604,0.0009649288135120719,0.0004397505769606894,Trajectory-2,0.0,39.0
RPL18AP6,0.0005810303732526877,0.0005246441291041984,-0.00226572449616911,0.0007608272026691941,0.0002796760991639823,Trajectory-2,0.0,19.0
RPL19P6,-0.003136461779269745,0.0006246013689266112,-0.002867922534737135,-0.0018772942371468597,0.00090373901217244,Trajectory-1,100.0,0.0
RPL21P119,0.0012160049268488842,0.00021335599469615976,-0.0010708064625253536,0.0008714339774799736,-8.064346175677242e-05,Trajectory-2,0.0,88.0
RPL21P16,0.004241371571684906,-0.0018082026570819141,0.0068979247510886875,-0.004445368290895626,0.00022684457553236645,Trajectory-2,0.0,261.0
RPL21P23,0.003039259220484091,-0.0005940440554703555,0.0015111271971859365,0.0013529890652293143,-0.0007072698032905922,Trajectory-2,0.0,166.0
RPL22P1,0.003361245876086288,-0.0009690490430688306,0.0032876650380421124,-0.000737987953726366,-0.00021155339451943962,Trajectory-2,0.0,221.0
RPL24P4,0.0020388619831401005,-2.292558709800231e-05,-0.0006474627689899831,0.001825413175312042,-0.00011705180750877679,Trajectory-2,0.0,77.0
RPL26P19,0.001921352188136125,-4.1254251688754035e-05,-0.0006571054541100517,0.0015938456440600312,2.580309895682754e-05,Trajectory-2,0.0,89.0
